trip_id,duration,,
190178259,4,,
190178257,8,,
190178258,26,,
190178254,25,,
190178255,25,,
190178256,15,,
190178253,30,,
190178252,29,,
190178251,7,,
190178250,16,,
190178249,12,,
190178246,3,,
190178247,11,,
190178248,11,,
190178245,7,,
190178244,19,,
190178243,5,,
190178242,7,,
190178240,9,,
190380168,515,,
190178238,6,,
190178239,22,,
190200586,36,,
190200585,38,,
190178237,8,,
190178236,17,,
190178235,5,,
190178234,6,,
190200580,21,,
190178233,5,,
190178232,3,,
190200578,7,,
190200576,22,,
190200574,20,,
190200575,3,,
190200573,29,,
190200572,7,,
190200571,21,,
190200570,8,,
190200568,25,,
190200567,4,,
190200566,9,,
190200565,4,,
190200564,13,,
190200563,16,,
190200561,11,,
190200562,8,,
190200560,3,,
190200559,5,,
190200557,21,,
190200555,21,,
190200556,15,,
190222929,65,,
190200553,16,,
190200554,2,,
190200551,4,,
190200552,15,,
190200550,16,,
190200549,12,,
190200546,11,,
190200547,11,,
190200548,13,,
190200545,2,,
190222918,18,,
190200544,14,,
190222916,34,,
190568180,932,,
190222915,15,,
190222913,33,,
190222914,14,,
190222912,30,,
190222911,6,,
190642028,1112,,
190222910,16,,
190222909,14,,
190222908,6,,
190222906,4,,
190222905,12,,
190222904,18,,
190245292,88,,
190642019,1101,,
190222903,31,,
190222902,32,,
190222901,14,,
190222900,6,,
190222899,13,,
190222898,4,,
190222897,4,,
190245284,15,,
190245281,12,,
190245282,13,,
190245283,12,,
190222895,8,,
190222896,6,,
190245278,24,,
190245277,9,,
190245275,11,,
190592621,966,,
190245274,6,,
190519772,768,,
190245273,3,,
190245271,11,,
190245272,14,,
190245270,4,,
190267664,23,,
190267662,21,,
190267660,8,,
190267659,3,,
190290062,22,,
190267658,12,,
190290060,11,,
190290058,14,,
190290059,5,,
190290057,12,,
190312479,56,,
190312480,56,,
190290056,11,,
190290055,11,,
190312476,18,,
190290054,10,,
190290053,9,,
190312473,19,,
190312472,8,,
190312470,7,,
190312471,7,,
190312469,5,,
190312468,9,,
190312467,2,,
190312465,3,,
190312466,13,,
190312464,16,,
190312463,6,,
190312462,9,,
190312460,9,,
190312458,8,,
190312459,6,,
190334915,5,,
190334916,8,,
190334914,5,,
190334912,40,,
190334913,11,,
190334911,18,,
190334910,9,,
190334909,7,,
190334908,13,,
190334907,19,,
190334906,20,,
190334905,49,,
190334904,9,,
190334903,14,,
190334902,7,,
190334901,21,,
190334900,15,,
190357414,58,,
190334899,7,,
190357413,33,,
190334898,13,,
190357409,52,,
190357410,34,,
190334897,2,,
190357407,32,,
190334895,6,,
190334894,12,,
190334893,6,,
190334891,10,,
190334892,2,,
190334890,3,,
190334889,15,,
190334886,10,,
190334887,11,,
190334888,10,,
190334884,10,,
190334885,9,,
190334883,5,,
190357392,17,,
190334881,6,,
190334882,7,,
190357391,15,,
190357388,14,,
190357387,16,,
190357384,11,,
190357385,47,,
190380000,67,,
190357382,7,,
190357383,9,,
190357381,5,,
190357380,13,,
190357379,9,,
190357378,9,,
190357377,9,,
190357376,9,,
190379991,50,,
190357375,5,,
190357374,14,,
190357370,8,,
190357371,21,,
190357372,16,,
190357373,7,,
190357368,6,,
190357369,6,,
190357367,13,,
190357363,2,,
190357364,6,,
190357365,10,,
190357366,11,,
190357361,17,,
190357362,12,,
190357360,31,,
190357359,4,,
190357358,2,,
190448807,239,,
190357356,1,,
190357357,6,,
190448806,237,,
190357355,18,,
190357354,9,,
190402727,105,,
190425646,197,,
190357353,10,,
190357352,7,,
190357351,16,,
190402723,97,,
190357350,14,,
190357349,5,,
190379963,21,,
190357346,11,,
190357347,7,,
190357348,10,,
190379961,43,,
190379958,16,,
190425633,194,,
190357345,11,,
190379957,15,,
190357343,10,,
190402710,90,,
190357342,9,,
190472160,264,,
190379951,25,,
190379952,16,,
190379948,12,,
190379949,10,,
190379950,9,,
190379945,25,,
190379946,21,,
190379947,17,,
190357341,5,,
190379944,13,,
190379942,23,,
190379941,17,,
190379939,29,,
190379940,11,,
190379937,11,,
190379938,10,,
190379936,14,,
190379933,17,,
190379934,22,,
190379935,22,,
190379932,6,,
190379930,25,,
190379931,26,,
190379929,4,,
190425601,112,,
190379923,3,,
190379924,11,,
190379925,22,,
190379926,36,,
190379927,33,,
190379922,32,,
190379920,15,,
190379921,28,,
190379915,7,,
190379916,10,,
190379917,9,,
190379918,9,,
190379919,9,,
190425592,164,,
190379913,5,,
190379914,10,,
190379912,15,,
190379909,6,,
190379911,11,,
190379908,14,,
190379907,1,,
190379906,22,,
190379904,2,,
190379905,4,,
190379902,7,,
190379903,7,,
190379900,4,,
190379901,6,,
190379898,9,,
190379899,9,,
190379897,5,,
190402652,56,,
190379896,11,,
190379893,14,,
190379894,10,,
190379888,15,,
190379889,15,,
190379890,16,,
190379891,6,,
190379892,5,,
190402645,53,,
190379887,14,,
190425557,128,,
190379886,9,,
190379884,11,,
190379885,18,,
190379883,4,,
190379882,4,,
190379878,12,,
190379879,5,,
190379880,8,,
190379881,22,,
190379874,21,,
190379876,9,,
190379877,11,,
190379870,20,,
190379871,8,,
190379872,16,,
190379873,11,,
190379868,13,,
190379869,13,,
190379867,8,,
190379866,13,,
190379864,13,,
190379865,5,,
190402617,17,,
190379863,6,,
190379862,9,,
190402614,63,,
190379861,4,,
190402612,14,,
190402613,31,,
190402610,16,,
190379860,7,,
190402607,14,,
190402609,13,,
190379858,7,,
190402603,9,,
190402604,18,,
190402601,44,,
190402602,12,,
190402598,6,,
190402599,8,,
190402600,18,,
190402597,8,,
190402593,36,,
190402594,11,,
190402595,4,,
190402596,4,,
190379857,2,,
190402589,16,,
190402590,24,,
190402591,24,,
190402586,42,,
190402587,4,,
190402588,15,,
190402585,20,,
190402584,19,,
190402583,19,,
190402580,12,,
190402582,7,,
190402577,6,,
190402578,38,,
190402579,6,,
190402575,8,,
190402572,4,,
190402573,7,,
190402574,10,,
190402570,15,,
190402571,19,,
190425485,85,,
190402565,18,,
190402566,9,,
190402567,6,,
190402568,6,,
190402569,2,,
190402562,17,,
190402563,10,,
190402564,8,,
190402560,13,,
190402561,6,,
190448627,131,,
190402556,5,,
190402557,6,,
190402558,7,,
190402559,11,,
190402554,34,,
190402555,4,,
190402551,19,,
190402552,13,,
190402553,12,,
190402550,43,,
190402549,13,,
190402548,12,,
190402547,24,,
190402542,15,,
190402543,21,,
190402544,11,,
190402545,8,,
190402540,18,,
190402541,28,,
190402534,28,,
190402535,6,,
190402536,10,,
190402537,3,,
190402538,17,,
190402539,7,,
190448604,136,,
190402533,16,,
190402531,3,,
190402532,8,,
190402530,10,,
190402526,9,,
190402527,6,,
190402528,9,,
190402524,10,,
190402525,17,,
190448590,114,,
190402523,10,,
190471966,209,,
190402521,10,,
190402522,9,,
190402519,23,,
190402520,13,,
190402515,22,,
190402516,7,,
190402517,29,,
190402518,8,,
190402512,6,,
190402513,6,,
190402514,6,,
190425425,31,,
190402510,9,,
190402511,10,,
190402507,17,,
190402508,13,,
190402509,11,,
190402504,7,,
190402505,9,,
190402506,11,,
190448568,113,,
190402502,8,,
190402503,18,,
190448563,138,,
190448564,111,,
190402500,9,,
190402501,21,,
190471937,146,,
190448560,136,,
190402498,15,,
190402499,13,,
190425410,39,,
190402494,19,,
190402495,2,,
190402497,4,,
190402493,14,,
190425401,20,,
190402492,7,,
190425391,21,,
190425394,19,,
190402490,5,,
190402491,2,,
190425389,25,,
190402488,7,,
190425381,17,,
190402483,8,,
190402484,10,,
190402485,10,,
190402487,9,,
190425378,18,,
190402482,7,,
190425369,12,,
190425370,26,,
190425371,29,,
190425372,17,,
190425373,26,,
190425367,12,,
190402481,8,,
190425365,20,,
190425366,49,,
190402479,8,,
190425363,59,,
190425359,13,,
190425360,8,,
190425357,16,,
190425358,21,,
190425353,5,,
190425355,14,,
190425352,22,,
190448498,122,,
190425350,7,,
190425351,20,,
190425349,12,,
190425346,4,,
190425347,15,,
190425348,8,,
190425342,24,,
190425343,9,,
190425344,55,,
190425345,19,,
190425339,12,,
190425340,6,,
190425341,9,,
190425337,14,,
190425338,20,,
190425336,5,,
190425334,14,,
190425335,6,,
190425331,38,,
190425332,2,,
190425333,6,,
190425328,10,,
190425329,25,,
190425330,29,,
190448475,53,,
190425325,4,,
190425326,10,,
190425327,13,,
190519317,293,,
190425320,5,,
190425322,43,,
190425323,7,,
190425324,28,,
190425316,14,,
190425317,10,,
190425318,4,,
190425319,10,,
190448464,70,,
190425311,29,,
190425312,8,,
190425313,27,,
190425314,4,,
190448455,59,,
190425307,29,,
190425308,7,,
190425309,15,,
190425310,37,,
190425306,8,,
190425305,37,,
190425304,30,,
190425302,14,,
190425303,20,,
190425300,20,,
190425301,6,,
190425296,7,,
190425298,10,,
190425299,10,,
190425293,19,,
190425294,23,,
190425295,17,,
190425291,38,,
190425292,6,,
190425290,11,,
190425289,1,,
190425287,5,,
190448429,55,,
190425286,6,,
190448427,47,,
190425285,1,,
190448426,75,,
190425284,12,,
190425282,7,,
190425283,11,,
190448419,33,,
190448420,48,,
190448423,73,,
190425277,3,,
190425278,4,,
190425279,1,,
190425281,6,,
190425272,10,,
190425273,6,,
190425274,6,,
190425275,6,,
190425276,4,,
190425269,9,,
190425270,19,,
190425271,6,,
190448405,62,,
190448407,30,,
190471780,147,,
190425267,5,,
190425268,1,,
190448401,61,,
190425265,8,,
190425266,10,,
190448400,46,,
190471772,144,,
190425264,9,,
190448397,45,,
190425261,8,,
190425262,10,,
190425263,6,,
190448390,29,,
190448388,32,,
190448389,38,,
190425260,8,,
190716055,744,,
190425257,10,,
190425258,10,,
190425259,7,,
190448383,38,,
190471757,93,,
190425254,4,,
190425255,7,,
190448376,35,,
190448377,21,,
190448378,19,,
190448379,21,,
190425253,2,,
190425252,12,,
190448373,28,,
190425251,9,,
190448370,30,,
190448371,19,,
190425250,9,,
190471739,118,,
190425249,9,,
190448362,21,,
190448364,17,,
190425246,8,,
190425247,6,,
190448357,20,,
190448359,32,,
190425245,11,,
190448352,17,,
190448348,15,,
190448349,11,,
190448350,15,,
190448351,21,,
190425242,6,,
190425243,3,,
190448346,18,,
190471718,119,,
190425241,7,,
190448341,59,,
190448342,48,,
190448344,51,,
190448337,11,,
190448338,11,,
190448339,58,,
190448340,21,,
190471711,116,,
190448334,8,,
190448335,12,,
190448336,18,,
190425240,4,,
190448326,6,,
190448327,6,,
190448328,11,,
190448329,50,,
190448330,21,,
190448319,33,,
190448320,19,,
190448321,6,,
190448322,16,,
190448323,7,,
190448324,48,,
190448314,14,,
190448316,13,,
190448317,15,,
190448318,32,,
190448309,11,,
190448310,27,,
190448311,15,,
190448312,16,,
190448305,26,,
190448308,5,,
190448300,3,,
190448301,5,,
190448302,12,,
190448303,12,,
190448299,16,,
190448297,14,,
190448298,20,,
190471666,66,,
190471667,75,,
190448296,9,,
190448294,8,,
190448295,44,,
190471661,81,,
190448292,6,,
